Repository Name: ,mu-editor/mu,https://github.com/mu-editor/mu,,
Total Releases:,16,,,
Initial Version:,0.9.12,,,
,,,,
Version Number,Architectural Similarlity,Functional Similarity,Class Similarity,Module Similarity
0.9.13,99.69,99.72,100,100
1.0.0.beta.15,60.96,71.88,26.32,83.47
1.0.0.beta.16,56.44,67.51,15.79,78.35
1.0.0.beta.17,56.44,66.64,15.79,78.12
1.0.0.rc.1,53.99,66.51,15,78.29
1.0.0,52.46,66.45,15,78.29
1.0.1,49.67,66.31,15,78.41
1.0.2,49.58,65.68,15,78.28
1.1.0-alpha.1,49.17,65.37,13.64,77.74
1.1.0-alpha.2,45.82,65.11,12.5,77.16
1.0.3,49.58,65.68,15,78.28
1.1.0-beta.1,42,62.89,9.09,77.49
1.1.0-beta.2,41.7,63.84,9.09,77.81
1.1.0-beta.3,41.7,62.84,9.09,77.94
1.1.0-beta.4,41.7,62.82,8.82,77.55